apartment_id,monthyearday,type,consumption
1,1020201,Dishwasher,15.0
1,1020201,Hydractiva_shower,20.333333333333332
1,1020201,Kitchen_optima_faucet,4.28
1,1020201,Optima_faucet,5.269230769230769
1,1020201,Washing_machine,50.0
1,10202010,Dishwasher,15.0
1,10202010,Hydractiva_shower,19.25
1,10202010,Kitchen_optima_faucet,5.35
1,10202010,Optima_faucet,6.423076923076923
1,10202011,Hydractiva_shower,24.666666666666668
1,10202011,Kitchen_optima_faucet,5.035714285714286
1,10202011,Optima_faucet,5.333333333333333
1,10202011,Washing_machine,50.0
1,10202012,Dishwasher,15.0
1,10202012,Kitchen_optima_faucet,4.074074074074074
1,10202012,Optima_faucet,6.882352941176471
1,10202012,Washing_machine,40.0
1,10202013,Dishwasher,15.0
1,10202013,Hydractiva_shower,31.857142857142858
1,10202013,Kitchen_optima_faucet,5.388888888888889
1,10202013,Optima_faucet,5.958333333333333
1,10202013,Washing_machine,55.0
1,10202014,Dishwasher,15.0
1,10202014,Hydractiva_shower,34.8
1,10202014,Kitchen_optima_faucet,5.055555555555555
1,10202014,Optima_faucet,5.466666666666667
1,10202014,Washing_machine,50.0
1,10202015,Dishwasher,15.0
1,10202015,Hydractiva_shower,24.2
1,10202015,Kitchen_optima_faucet,4.857142857142857
1,10202015,Optima_faucet,7.222222222222222
1,10202015,Washing_machine,50.0
1,10202016,Hydractiva_shower,29.0
1,10202016,Kitchen_optima_faucet,3.8076923076923075
1,10202016,Optima_faucet,6.2592592592592595
1,10202016,Washing_machine,50.0
1,10202017,Dishwasher,15.0
1,10202017,Hydractiva_shower,33.25
1,10202017,Kitchen_optima_faucet,3.413793103448276
1,10202017,Optima_faucet,6.043478260869565
1,10202017,Washing_machine,55.0
1,10202018,Dishwasher,15.0
1,10202018,Hydractiva_shower,8.0
1,10202018,Kitchen_optima_faucet,4.461538461538462
1,10202018,Optima_faucet,5.666666666666667
1,10202019,Hydractiva_shower,31.666666666666668
1,10202019,Kitchen_optima_faucet,4.851851851851852
1,10202019,Optima_faucet,6.928571428571429
1,10202019,Washing_machine,50.0
1,1020202,Hydractiva_shower,18.25
1,1020202,Kitchen_optima_faucet,4.461538461538462
1,1020202,Optima_faucet,6.705882352941177
1,1020202,Washing_machine,52.5
1,10202020,Dishwasher,15.0
1,10202020,Hydractiva_shower,38.5
1,10202020,Kitchen_optima_faucet,4.833333333333333
1,10202020,Optima_faucet,7.541666666666667
1,10202020,Washing_machine,60.0
1,10202021,Dishwasher,15.0
1,10202021,Hydractiva_shower,36.0
1,10202021,Kitchen_optima_faucet,5.461538461538462
1,10202021,Optima_faucet,7.12
1,10202021,Washing_machine,50.0
1,10202022,Dishwasher,15.0
1,10202022,Hydractiva_shower,32.75
1,10202022,Kitchen_optima_faucet,6.6
1,10202022,Optima_faucet,6.08
1,10202022,Washing_machine,50.0
1,10202023,Dishwasher,15.0
1,10202023,Hydractiva_shower,25.0
1,10202023,Kitchen_optima_faucet,3.1363636363636362
1,10202023,Optima_faucet,7.12
1,10202023,Washing_machine,45.0
1,10202024,Hydractiva_shower,27.5
1,10202024,Kitchen_optima_faucet,4.454545454545454
1,10202024,Optima_faucet,6.578947368421052
1,10202024,Washing_machine,40.0
1,10202025,Dishwasher,15.0
1,10202025,Hydractiva_shower,36.5
1,10202025,Kitchen_optima_faucet,4.7
1,10202025,Optima_faucet,6.666666666666667
1,10202026,Dishwasher,15.0
1,10202026,Hydractiva_shower,26.4
1,10202026,Kitchen_optima_faucet,5.764705882352941
1,10202026,Optima_faucet,6.352941176470588
1,10202026,Washing_machine,45.0
1,10202027,Dishwasher,15.0
1,10202027,Hydractiva_shower,24.666666666666668
1,10202027,Kitchen_optima_faucet,4.7894736842105265
1,10202027,Optima_faucet,6.68
1,10202028,Dishwasher,15.0
1,10202028,Hydractiva_shower,43.0
1,10202028,Kitchen_optima_faucet,5.074074074074074
1,10202028,Optima_faucet,6.136363636363637
1,10202028,Washing_machine,45.0
1,10202029,Dishwasher,15.0
1,10202029,Kitchen_optima_faucet,5.107142857142857
1,10202029,Optima_faucet,6.625
1,10202029,Washing_machine,52.5
1,1020203,Dishwasher,15.0
1,1020203,Hydractiva_shower,19.6
1,1020203,Kitchen_optima_faucet,4.083333333333333
1,1020203,Optima_faucet,5.703703703703703
1,1020203,Washing_machine,60.0
1,10202030,Kitchen_optima_faucet,5.9523809523809526
1,10202030,Optima_faucet,7.15
1,10202030,Washing_machine,50.0
1,10202031,Dishwasher,15.0
1,10202031,Hydractiva_shower,22.0
1,10202031,Kitchen_optima_faucet,5.823529411764706
1,10202031,Optima_faucet,6.625
1,10202031,Washing_machine,60.0
1,1020204,Dishwasher,15.0
1,1020204,Hydractiva_shower,6.0
1,1020204,Kitchen_optima_faucet,5.04
1,1020204,Optima_faucet,6.0
1,1020204,Washing_machine,50.0
1,1020205,Dishwasher,15.0
1,1020205,Hydractiva_shower,30.25
1,1020205,Kitchen_optima_faucet,3.8421052631578947
1,1020205,Optima_faucet,6.333333333333333
1,1020206,Dishwasher,15.0
1,1020206,Hydractiva_shower,40.0
1,1020206,Kitchen_optima_faucet,4.833333333333333
1,1020206,Optima_faucet,6.157894736842105
1,1020207,Dishwasher,15.0
1,1020207,Hydractiva_shower,39.0
1,1020207,Kitchen_optima_faucet,3.8947368421052633
1,1020207,Optima_faucet,5.55
1,1020207,Washing_machine,55.0
1,1020208,Dishwasher,15.0
1,1020208,Hydractiva_shower,40.666666666666664
1,1020208,Kitchen_optima_faucet,5.052631578947368
1,1020208,Optima_faucet,6.529411764705882
1,1020208,Washing_machine,50.0
1,1020209,Kitchen_optima_faucet,4.90625
1,1020209,Optima_faucet,7.363636363636363
1,1020209,Washing_machine,50.0
1,1120201,Dishwasher,15.0
1,1120201,Hydractiva_shower,35.666666666666664
1,1120201,Kitchen_optima_faucet,4.318181818181818
1,1120201,Optima_faucet,6.88
1,1120201,Washing_machine,40.0
1,11202010,Dishwasher,15.0
1,11202010,Hydractiva_shower,38.5
1,11202010,Kitchen_optima_faucet,2.8125
1,11202010,Optima_faucet,5.96875
1,11202010,Washing_machine,40.0
1,11202011,Dishwasher,15.0
1,11202011,Hydractiva_shower,27.0
1,11202011,Kitchen_optima_faucet,5.15
1,11202011,Optima_faucet,6.2631578947368425
1,11202011,Washing_machine,50.0
1,11202012,Dishwasher,15.0
1,11202012,Hydractiva_shower,42.4
1,11202012,Kitchen_optima_faucet,5.136363636363637
1,11202012,Optima_faucet,5.777777777777778
1,11202012,Washing_machine,60.0
1,11202013,Hydractiva_shower,22.666666666666668
1,11202013,Kitchen_optima_faucet,5.285714285714286
1,11202013,Optima_faucet,5.208333333333333
1,11202013,Washing_machine,56.666666666666664
1,11202014,Dishwasher,15.0
1,11202014,Hydractiva_shower,30.0
1,11202014,Kitchen_optima_faucet,5.7407407407407405
1,11202014,Optima_faucet,5.40625
1,11202014,Washing_machine,50.0
1,11202015,Dishwasher,15.0
1,11202015,Hydractiva_shower,36.0
1,11202015,Kitchen_optima_faucet,4.185185185185185
1,11202015,Optima_faucet,6.346153846153846
1,11202016,Dishwasher,15.0
1,11202016,Hydractiva_shower,33.333333333333336
