,Consumption,Temp,FlowTime,Power_Consumption,TimeStamp
0,15,60,10800,0.9624999,2020-01-01T06:10:46
1,15,60,10800,0.9624999,2020-01-02T16:00:39
2,15,60,10800,0.9624999,2020-01-03T20:00:45
3,15,60,10800,0.9624999,2020-01-05T16:20:28
4,15,60,10800,0.9624999,2020-01-06T13:00:07
5,15,60,10800,0.9624999,2020-01-07T15:00:50
6,15,60,10800,0.9624999,2020-01-08T18:10:02
7,15,60,10800,0.9624999,2020-01-09T14:10:30
8,15,60,10800,0.9624999,2020-01-10T00:40:12
9,15,60,10800,0.9624999,2020-01-10T23:50:15
10,15,60,10800,0.9624999,2020-01-11T21:00:46
11,15,60,10800,0.9624999,2020-01-12T16:50:20
12,15,60,10800,0.9624999,2020-01-12T22:40:55
13,15,60,10800,0.9624999,2020-01-13T10:00:31
14,15,60,10800,0.9624999,2020-01-13T15:10:17
15,15,60,10800,0.9624999,2020-01-14T20:30:53
16,15,60,10800,0.9624999,2020-01-15T06:30:40
17,15,60,10800,0.9624999,2020-01-15T13:30:38
18,15,60,10800,0.9624999,2020-01-16T16:30:37
19,15,60,10800,0.9624999,2020-01-17T06:30:31
20,15,60,10800,0.9624999,2020-01-17T20:00:08
21,15,60,10800,0.9624999,2020-01-18T20:10:27
22,15,60,10800,0.9624999,2020-01-19T10:00:05
23,15,60,10800,0.9624999,2020-01-19T13:40:38
24,15,60,10800,0.9624999,2020-01-20T14:10:16
25,15,60,10800,0.9624999,2020-01-20T18:00:01
26,15,60,10800,0.9624999,2020-01-20T22:50:43
27,15,60,10800,0.9624999,2020-01-21T05:40:32
28,15,60,10800,0.9624999,2020-01-21T09:50:10
29,15,60,10800,0.9624999,2020-01-21T15:30:58
30,15,60,10800,0.9624999,2020-01-21T20:00:17
31,15,60,10800,0.9624999,2020-01-21T23:20:47
32,15,60,10800,0.9624999,2020-01-22T15:30:50
33,15,60,10800,0.9624999,2020-01-23T07:10:18
34,15,60,10800,0.9624999,2020-01-24T15:50:34
35,15,60,10800,0.9624999,2020-01-25T07:40:21
36,15,60,10800,0.9624999,2020-01-26T03:00:06
37,15,60,10800,0.9624999,2020-01-27T21:10:57
38,15,60,10800,0.9624999,2020-01-28T11:00:56
39,15,60,10800,0.9624999,2020-01-28T15:20:28
40,15,60,10800,0.9624999,2020-01-29T21:20:52
41,15,60,10800,0.9624999,2020-01-30T08:10:21
42,15,60,10800,0.9624999,2020-01-30T14:50:36
43,15,60,10800,0.9624999,2020-01-30T19:00:30
44,15,60,10800,0.9624999,2020-01-31T00:10:53
45,15,60,10800,0.9624999,2020-01-31T21:30:07
46,15,60,10800,0.97999996,2020-02-02T21:30:26
47,15,60,10800,0.97999996,2020-02-04T03:40:33
48,15,60,10800,0.97999996,2020-02-04T09:40:57
49,15,60,10800,0.97999996,2020-02-05T21:50:24
50,15,60,10800,0.97999996,2020-02-06T18:40:48
51,15,60,10800,0.97999996,2020-02-07T04:00:04
52,15,60,10800,0.97999996,2020-02-08T10:20:23
53,15,60,10800,0.97999996,2020-02-08T15:40:33
54,15,60,10800,0.97999996,2020-02-09T02:50:36
55,15,60,10800,0.97999996,2020-02-09T11:40:44
56,15,60,10800,0.97999996,2020-02-10T08:00:46
57,15,60,10800,0.97999996,2020-02-10T12:50:33
58,15,60,10800,0.97999996,2020-02-11T21:40:50
59,15,60,10800,0.97999996,2020-02-12T16:30:03
60,15,60,10800,0.97999996,2020-02-12T19:50:13
61,15,60,10800,0.97999996,2020-02-13T08:20:31
62,15,60,10800,0.97999996,2020-02-14T08:20:14
63,15,60,10800,0.97999996,2020-02-14T18:10:03
64,15,60,10800,0.97999996,2020-02-15T23:10:33
65,15,60,10800,0.97999996,2020-02-16T16:30:20
66,15,60,10800,0.97999996,2020-02-16T20:10:00
67,15,60,10800,0.97999996,2020-02-17T00:40:53
68,15,60,10800,0.97999996,2020-02-17T13:50:04
69,15,60,10800,0.97999996,2020-02-17T19:10:22
70,15,60,10800,0.97999996,2020-02-18T09:00:11
71,15,60,10800,0.97999996,2020-02-18T14:10:58
72,15,60,10800,0.97999996,2020-02-19T08:10:02
73,15,60,10800,0.97999996,2020-02-19T16:00:01
74,15,60,10800,0.97999996,2020-02-20T06:20:04
75,15,60,10800,0.97999996,2020-02-20T14:10:23
76,15,60,10800,0.97999996,2020-02-20T21:20:04
77,15,60,10800,0.97999996,2020-02-21T15:50:06
78,15,60,10800,0.97999996,2020-02-23T19:10:59
79,15,60,10800,0.97999996,2020-02-23T22:30:02
80,15,60,10800,0.97999996,2020-02-25T18:10:59
81,15,60,10800,0.97999996,2020-02-25T23:30:47
82,15,60,10800,0.97999996,2020-02-27T19:00:53
83,15,60,10800,0.97999996,2020-02-28T10:10:35
84,15,60,10800,0.97999996,2020-02-28T16:10:44
85,15,60,10800,0.97999996,2020-03-01T19:40:41
86,15,60,10800,0.97999996,2020-03-02T21:40:54
87,15,60,10800,0.97999996,2020-03-03T03:40:56
88,15,60,10800,0.97999996,2020-03-03T15:30:14
89,15,60,10800,0.97999996,2020-03-03T19:10:05
90,15,60,10800,0.97999996,2020-03-04T18:30:54
91,15,60,10800,0.97999996,2020-03-04T21:40:31
92,15,60,10800,0.97999996,2020-03-05T05:30:37
93,15,60,10800,0.97999996,2020-03-07T02:40:12
94,15,60,10800,0.97999996,2020-03-07T15:50:23
95,15,60,10800,0.97999996,2020-03-07T21:50:54
96,15,60,10800,0.97999996,2020-03-09T23:40:04
97,15,60,10800,0.97999996,2020-03-10T16:00:59
98,15,60,10800,0.97999996,2020-03-11T10:40:52
99,15,60,10800,0.97999996,2020-03-12T14:50:42
100,15,60,10800,0.97999996,2020-03-12T18:00:12
101,15,60,10800,0.97999996,2020-03-13T18:40:04
102,15,60,10800,0.97999996,2020-03-14T11:50:27
103,15,60,10800,0.97999996,2020-03-14T18:10:57
104,15,60,10800,0.97999996,2020-03-15T19:10:37
105,15,60,10800,0.97999996,2020-03-17T10:20:29
106,15,60,10800,0.97999996,2020-03-17T18:40:05
107,15,60,10800,0.97999996,2020-03-17T22:30:13
108,15,60,10800,0.97999996,2020-03-18T08:00:00
109,15,60,10800,0.97999996,2020-03-19T00:20:48
110,15,60,10800,0.97999996,2020-03-20T17:40:04
111,15,60,10800,0.97999996,2020-03-21T19:10:37
112,15,60,10800,0.97999996,2020-03-22T23:20:12
113,15,60,10800,0.97999996,2020-03-23T08:20:16
114,15,60,10800,0.97999996,2020-03-24T12:30:33
115,15,60,10800,0.97999996,2020-03-27T10:10:27
116,15,60,10800,0.97999996,2020-03-27T15:00:24
117,15,60,10800,0.97999996,2020-03-28T06:20:40
118,15,60,10800,0.97999996,2020-03-28T12:40:41
119,15,60,10800,0.97999996,2020-03-28T16:40:06
120,15,60,10800,0.97999996,2020-03-29T13:10:57
121,15,60,10800,0.97999996,2020-03-29T18:50:17
122,15,60,10800,0.97999996,2020-03-29T22:30:06
123,15,60,10800,0.97999996,2020-03-30T20:30:22
124,15,60,10800,0.97999996,2020-03-31T10:30:26
125,15,60,10800,0.97999996,2020-03-31T19:30:06
126,15,60,10800,0.92749995,2020-04-01T16:00:47
127,15,60,10800,0.92749995,2020-04-02T20:20:43
128,15,60,10800,0.92749995,2020-04-03T12:40:15
129,15,60,10800,0.92749995,2020-04-03T17:50:09
130,15,60,10800,0.92749995,2020-04-04T08:30:19
131,15,60,10800,0.92749995,2020-04-04T18:30:01
132,15,60,10800,0.92749995,2020-04-05T16:30:56
133,15,60,10800,0.92749995,2020-04-05T20:00:43
134,15,60,10800,0.92749995,2020-04-06T11:50:03
135,15,60,10800,0.92749995,2020-04-06T21:10:44
136,15,60,10800,0.92749995,2020-04-07T11:10:12
137,15,60,10800,0.92749995,2020-04-08T10:10:09
138,15,60,10800,0.92749995,2020-04-09T00:40:11
139,15,60,10800,0.92749995,2020-04-09T21:10:27
140,15,60,10800,0.92749995,2020-04-10T10:30:21
141,15,60,10800,0.92749995,2020-04-11T07:20:45
142,15,60,10800,0.92749995,2020-04-12T15:40:48
143,15,60,10800,0.92749995,2020-04-13T01:00:28
144,15,60,10800,0.92749995,2020-04-14T20:40:07
145,15,60,10800,0.92749995,2020-04-15T16:40:37
146,15,60,10800,0.92749995,2020-04-18T15:10:49
147,15,60,10800,0.92749995,2020-04-18T20:40:16
148,15,60,10800,0.92749995,2020-04-19T01:40:20
149,15,60,10800,0.92749995,2020-04-19T14:40:46
150,15,60,10800,0.92749995,2020-04-20T09:40:33
151,15,60,10800,0.92749995,2020-04-20T21:40:52
